iter	RMSE
0	444.1904091
1	435.6293141
2	427.4065765
3	419.2933867
4	411.6194751
5	404.4594495
6	397.3295644
7	390.4367995
8	383.6369086
9	377.5611251
10	371.7640442
11	365.5179654
12	359.8474635
13	354.1744101
14	348.7333285
15	343.6638625
16	338.7461807
17	333.9629783
18	329.3020595
19	324.7148584
20	320.5250209
21	316.5514282
22	312.4814867
23	308.8006806
24	305.1104506
25	301.6878776
26	298.2045819
27	294.9045474
28	291.7974857
29	288.7630372
30	285.6322058
31	282.7080008
32	279.8760347
33	277.2111353
34	274.6515671
35	272.2383446
36	269.8017006
37	267.7765525
38	265.7264491
39	263.5641123
40	261.5545539
41	259.5936802
42	257.8819842
43	255.9540459
44	254.1665506
45	252.512996
46	250.9961935
47	249.4677614
48	247.9519132
49	246.735945
50	245.4256138
51	243.9806661
52	242.7905147
53	241.3716942
54	240.2738398
55	239.1700709
56	238.1057792
57	237.0421779
58	236.0484555
59	235.086678
60	234.0024707
61	232.9989725
62	232.1730937
63	231.4706174
64	230.659629
65	229.7190155
66	228.9634572
67	228.3195398
68	227.5511619
69	226.8523694
70	226.1300674
71	225.4708983
72	224.7884967
73	224.1981523
74	223.4830443
75	222.867533
76	222.3061414
77	221.7836214
78	221.3426937
79	220.9079664
80	220.4306197
81	219.7616617
82	219.2633563
83	218.8403924
84	218.2977628
85	217.7329615
86	217.1761011
87	216.7194005
88	216.3478091
89	215.8954676
90	215.5099844
91	215.1357127
92	214.7434542
93	214.2781475
94	213.9268958
95	213.585139
96	213.2594029
97	212.9080814
98	212.5518282
99	212.2096174
100	211.8490541
101	211.5490402
102	211.2795884
103	211.0609199
104	210.7896352
105	210.452067
106	210.0523558
107	209.7272428
108	209.4234318
109	209.1448656
110	208.875904
111	208.6439931
112	208.3327217
113	208.1507227
114	207.9655246
115	207.745889
116	207.521973
117	207.3079291
118	207.1200923
119	206.836351
120	206.5366475
121	206.3574036
122	206.1046722
123	205.9453399
124	205.7457768
125	205.538681
126	205.3404089
127	205.1921741
128	204.9782992
129	204.8172601
130	204.5723695
131	204.3157859
132	204.1578991
133	204.0390344
134	203.8044312
135	203.6243142
136	203.4414276
137	203.2882366
138	203.1607071
139	202.9325247
140	202.726889
141	202.5842237
142	202.4525223
143	202.3203661
144	202.1684169
145	202.0423741
146	201.9403368
147	201.8165589
148	201.6446799
149	201.4725687
150	201.3228603
151	201.212091
152	201.0514012
153	200.9209132
154	200.7920605
155	200.606336
156	200.4953396
157	200.421775
158	200.3016345
159	200.1917547
160	200.0601519
161	199.8912089
162	199.8559159
163	199.7209557
164	199.6614183
165	199.5886432
166	199.4787983
167	199.3725863
168	199.2369347
169	199.1597776
170	199.0231234
171	198.862558
172	198.755572
173	198.6156851
174	198.5293122
175	198.4451487
176	198.2993689
177	198.2157487
178	198.14081
179	198.0193452
180	197.9234766
181	197.8670276
182	197.7510378
183	197.650343
184	197.6034428
185	197.5460123
186	197.3586001
187	197.2374425
188	197.0810992
189	197.0057701
190	196.9119957
191	196.841379
192	196.796299
193	196.7524177
194	196.6150911
195	196.561114
196	196.4919586
197	196.4109036
198	196.2984915
199	196.1846282
200	196.1384441
201	195.9562259
202	195.8831439
203	195.7532793
204	195.7050445
205	195.6417976
206	195.5994742
207	195.5275366
208	195.4645387
209	195.3358922
210	195.2753814
211	195.1722383
212	195.102743
213	195.0325276
214	194.9290889
215	194.8438583
216	194.8183485
217	194.7803593
218	194.6772019
219	194.5977531
220	194.5389217
221	194.4810785
222	194.3800634
223	194.3031168
224	194.17549
225	194.1083234
226	194.0117344
227	193.9632575
228	193.931926
229	193.8617163
230	193.8252301
231	193.7671145
232	193.6952465
233	193.5882813
234	193.5245752
235	193.45308
236	193.3152785
237	193.2789851
238	193.151332
239	193.1107727
240	193.0565849
241	192.9257323
242	192.8841913
243	192.8176918
244	192.6720109
245	192.5449111
246	192.5076802
247	192.4247729
248	192.348429
249	192.2720969
250	192.15131
251	192.0145497
252	191.955311
253	191.8174983
254	191.712629
255	191.6421176
256	191.5875918
257	191.5636121
258	191.5054722
259	191.4113615
260	191.3655616
261	191.265412
262	191.2193272
263	191.175464
264	191.1223405
265	191.0707735
266	191.0212013
267	190.9467248
268	190.8578207
269	190.7619467
270	190.6772654
271	190.620961
272	190.507856
273	190.4023301
274	190.322484
275	190.202838
276	190.1869394
277	190.1615096
278	190.0970546
279	190.0260186
280	189.9167011
281	189.8775794
282	189.8322763
283	189.7305841
284	189.642611
285	189.5897205
286	189.4712559
287	189.4002269
288	189.3314817
289	189.2884978
290	189.1725696
291	189.0727893
292	188.9319001
293	188.8692854
294	188.7535138
295	188.672978
296	188.5702599
297	188.4886044
298	188.4562839
299	188.3790109
300	188.3609201
301	188.2986751
302	188.1761742
303	188.1301078
304	188.1048048
305	188.0185164
306	187.9781376
307	187.8828859
308	187.827903
309	187.7517788
310	187.7400667
311	187.7266981
312	187.6701104
313	187.5831678
314	187.5327463
315	187.5129487
316	187.4539541
317	187.3869361
318	187.3751997
319	187.3556844
320	187.3233437
321	187.2800003
322	187.2274622
323	187.1503488
324	187.1001314
325	186.9882476
326	186.9719722
327	186.9521207
328	186.8539223
329	186.7672341
330	186.6714352
331	186.5965866
332	186.4851215
333	186.4411815
334	186.4198341
335	186.4042241
336	186.356297
337	186.2841762
338	186.1754801
339	186.1661545
340	186.1269712
341	186.0726121
342	186.0099032
343	185.9242182
344	185.8483611
345	185.7545448
346	185.7288505
347	185.6102285
348	185.5692111
349	185.4973399
350	185.4656439
351	185.4356545
352	185.4032365
353	185.3884303
354	185.3233423
355	185.3087983
356	185.2974646
357	185.2118673
358	185.0805192
359	185.0536204
360	185.0001168
361	184.913964
362	184.88545
363	184.8615514
364	184.741567
365	184.7267719
366	184.6339349
367	184.5772315
368	184.4946747
369	184.4545094
370	184.3617232
371	184.3486356
372	184.2805533
373	184.2151851
374	184.1591436
375	184.1306319
376	184.0428855
377	183.9443885
378	183.852396
379	183.8344954
380	183.8064258
381	183.6997911
382	183.6292195
383	183.594242
384	183.5221568
385	183.4664243
386	183.4020913
387	183.3860697
388	183.3287829
389	183.2941558
390	183.2741683
391	183.2442399
392	183.2182927
393	183.1764043
394	183.0382921
395	182.9812192
396	182.9333065
397	182.9018839
398	182.8535178
399	182.8383835
400	182.7858043
401	182.7215984
402	182.6648526
403	182.6318548
404	182.5942345
405	182.5688523
406	182.5620055
407	182.5205815
408	182.4784328
409	182.4243
410	182.3501333
411	182.2984701
412	182.2140555
413	182.1362565
414	182.064244
415	182.0208602
416	182.0094036
417	181.9827409
418	181.9715337
419	181.9222779
420	181.8696756
421	181.7714233
422	181.7221471
423	181.6959962
424	181.6852205
425	181.6477928
426	181.5906452
427	181.5338244
428	181.5220724
429	181.4759549
430	181.46547
431	181.4329318
432	181.4069495
433	181.3935034
434	181.3683666
435	181.3582974
436	181.314765
437	181.2446274
438	181.2308217
439	181.2237354
440	181.2106939
441	181.1797837
442	181.1677378
443	181.1113129
444	181.0492427
445	181.0396366
446	180.8523599
447	180.8428904
448	180.8331114
449	180.8122466
450	180.7685142
451	180.7458659
452	180.7369917
453	180.5535004
454	180.3739981
455	180.3333236
456	180.286743
457	180.2487253
458	180.2007337
459	180.1899454
460	180.1645473
461	180.1366457
462	180.1089783
463	180.0317703
464	180.0059474
465	179.9795952
466	179.9346365
467	179.9263552
468	179.865549
469	179.8217894
470	179.8135909
471	179.7132489
472	179.6756692
473	179.6676165
474	179.6278579
475	179.5990735
476	179.5880802
477	179.5781469
478	179.5081047
479	179.4683289
480	179.3702747
481	179.3505332
482	179.321703
483	179.2835974
484	179.2474977
485	179.2126631
486	179.0379686
487	179.0150398
488	178.8489956
489	178.7208542
490	178.6912866
491	178.6410004
492	178.6070856
493	178.5616787
494	178.5204604
495	178.5007832
496	178.4770415
497	178.4586619
498	178.4043785
499	178.394979
500	178.3655933
501	178.347646
502	178.339293
503	178.2775796
504	178.2685034
505	178.1004621
506	178.0795928
507	178.0317154
508	177.979354
509	177.9181144
510	177.8851155
511	177.7636749
512	177.6944394
513	177.6587091
514	177.606272
515	177.583824
516	177.5670466
517	177.5148919
518	177.3687673
519	177.3478908
520	177.3061444
521	177.2974893
522	177.209902
523	177.201372
524	177.1930619
525	177.1694951
526	177.1614311
527	177.1310939
528	177.0751808
529	177.0494384
530	177.0415995
531	177.0352865
532	176.980521
533	176.9612235
534	176.8889137
535	176.8686425
536	176.707482
537	176.7013674
538	176.5882132
539	176.5002913
540	176.464619
541	176.4449
542	176.4172983
543	176.364261
544	176.3355818
545	176.3214755
546	176.2653184
547	176.2357382
548	176.1626173
549	176.1185864
550	176.0938896
551	176.0713473
552	176.015452
553	175.9446978
554	175.9262504
555	175.8930561
556	175.879655
557	175.8663703
558	175.8367586
559	175.7938357
560	175.7846676
561	175.7580429
562	175.7449519
563	175.7322935
564	175.7105497
565	175.5582365
566	175.5207915
567	175.508514
568	175.4841468
569	175.4350443
570	175.4130167
571	175.3258398
572	175.3023861
573	175.2695091
574	175.2545903
575	175.2307875
576	175.2075615
577	175.1315266
578	175.1090715
579	175.0393481
580	174.9458045
581	174.9340171
582	174.9144586
583	174.8542916
584	174.8390481
585	174.8135189
586	174.7913895
587	174.7267622
588	174.7152332
589	174.6266722
590	174.5695329
591	174.5640506
592	174.5528339
593	174.5086783
594	174.4618809
595	174.3997581
596	174.3711134
597	174.3604917
598	174.3387816
599	174.3156039
600	174.2322036
601	174.1417742
602	174.1251823
603	174.10452
604	174.0872873
605	173.935404
606	173.902212
607	173.8666859
608	173.7945039
609	173.7889172
610	173.7139023
611	173.6308107
612	173.6017879
613	173.5915646
614	173.5791224
615	173.5389613
616	173.5182351
617	173.4709713
618	173.4498324
619	173.3253722
620	173.3005047
621	173.2734835
622	173.1967224
623	173.1302467
624	173.0660504
625	173.0640022
626	173.026596
627	172.9908382
628	172.8340688
629	172.7796988
630	172.7129801
631	172.6987055
632	172.6696165
633	172.6446725
634	172.6026847
635	172.5909297
636	172.5670567
637	172.5195177
638	172.4999297
639	172.4928989
640	172.4786484
641	172.4690273
642	172.4287049
643	172.3762087
644	172.3315342
645	172.2809545
646	172.1625044
647	172.1189187
648	172.0860915
649	172.0765973
650	172.0203391
651	171.9797366
652	171.9288642
653	171.8620813
654	171.8159159
655	171.7870652
656	171.7597258
657	171.7203989
658	171.6517838
659	171.6421662
660	171.6288151
661	171.6005984
662	171.4575107
663	171.4324738
664	171.3817819
665	171.3149876
666	171.2742004
667	171.2101784
668	171.1464107
669	171.1230411
670	171.089232
671	171.0539844
672	171.0111309
673	170.9715785
674	170.9311839
675	170.9198674
676	170.9166005
677	170.8762821
678	170.8434382
679	170.7998341
680	170.7821543
681	170.7105715
682	170.6876052
683	170.5465552
684	170.5317103
685	170.4943627
686	170.4230594
687	170.3979911
688	170.3018328
689	170.2332433
690	170.2002028
691	170.1327557
692	170.0922987
693	170.0837585
694	170.0461153
695	169.9331073
696	169.9281757
697	169.8926801
698	169.8712773
699	169.8418661
700	169.7812492
701	169.7409667
702	169.707106
703	169.6930768
704	169.6418337
705	169.5785546
706	169.5400994
707	169.4752433
708	169.42663
709	169.3711704
710	169.316499
711	169.275399
712	169.2463386
713	169.1875075
714	169.1748731
715	169.1146351
716	169.0623184
717	169.0229374
718	168.9910115
719	168.9745729
720	168.9361531
721	168.877193
722	168.8402054
723	168.8141314
724	168.7694666
725	168.7269004
726	168.6863277
727	168.6506217
728	168.603134
729	168.5517321
730	168.4912776
731	168.4702212
732	168.4493386
733	168.4187261
734	168.3698588
735	168.3465544
736	168.3281367
737	168.2883443
738	168.2500831
739	168.2134824
740	168.189192
741	168.1769507
742	168.167895
743	168.1193622
744	168.0929148
745	168.0835576
746	168.0524296
747	168.0157361
748	167.9727456
749	167.9432655
750	167.9054735
751	167.871675
752	167.8183334
753	167.7914173
754	167.7740222
755	167.7285851
756	167.7011068
757	167.6825875
758	167.6361039
759	167.6125247
760	167.481514
761	167.4443457
762	167.4356855
763	167.3756374
764	167.3253081
765	167.2726064
766	167.245341
767	167.2104645
768	167.1787726
769	167.1427117
770	167.1297296
771	167.0955324
772	167.0806199
773	167.0741576
774	167.0422794
775	166.9300411
776	166.8892052
777	166.8571981
778	166.8191023
779	166.7889615
780	166.7679364
781	166.7241966
782	166.7099857
783	166.6814993
784	166.6734066
785	166.6487711
786	166.6237295
787	166.5948245
788	166.4570474
789	166.4122582
790	166.3866176
791	166.3480137
792	166.2124472
793	166.1772853
794	166.1253018
795	166.1190231
796	166.0794937
797	166.0366196
798	165.9975109
799	165.9489879
800	165.9134695
801	165.9017973
802	165.9002344
803	165.8945444
804	165.8575277
805	165.8106018
806	165.7868082
807	165.749171
808	165.7336552
809	165.7015876
810	165.5691662
811	165.5180611
812	165.4834837
813	165.4768898
814	165.4368076
815	165.3900798
816	165.3556082
817	165.2333251
818	165.2271621
819	165.1893694
820	165.1782156
821	165.1450985
822	165.0790319
823	165.0667637
824	165.0328045
825	165.0294627
826	165.0225138
827	164.9714536
828	164.9394408
829	164.9362347
830	164.9295045
831	164.8960795
832	164.8926985
833	164.880347
834	164.8460786
835	164.7837345
836	164.777264
837	164.7485876
838	164.7100812
839	164.7054755
840	164.6862384
841	164.6629593
842	164.6458952
843	164.6429434
844	164.6306465
845	164.5065598
846	164.4840117
847	164.4347908
848	164.4242875
849	164.3941016
850	164.3732279
851	164.3550193
852	164.3096149
853	164.2223411
854	164.1987554
855	164.1724518
856	164.1160302
857	164.0605305
858	164.0386644
859	164.0195079
860	163.9012141
861	163.8953687
862	163.8613076
863	163.8086699
864	163.7084517
865	163.6818009
866	163.5694135
867	163.5328537
868	163.4885108
869	163.4642907
870	163.4388629
871	163.4125698
872	163.3641119
873	163.3232576
874	163.2883976
875	163.2677917
876	163.2355798
877	163.1819726
878	163.1197207
879	163.1013647
880	163.0690918
881	163.0439857
882	163.0053551
883	162.9847045
884	162.9715451
885	162.9472694
886	162.9416424
887	162.9144585
888	162.892579
889	162.8833579
890	162.8781632
891	162.8729861
892	162.8412621
893	162.8312141
894	162.8129227
895	162.7852255
896	162.7504521
897	162.7359124
898	162.7043829
899	162.6741051
900	162.6691756
901	162.6520045
902	162.5249418
903	162.4853722
904	162.480556
905	162.4656489
906	162.4631668
907	162.4441399
908	162.4158062
909	162.3815706
910	162.319077
911	162.2908542
912	162.2541923
913	162.2234732
914	162.2187801
915	162.1675097
916	162.1367197
917	162.0951603
918	162.0791633
919	162.0667976
920	162.0498352
921	162.0257736
922	162.0091377
923	161.9570793
924	161.9096519
925	161.8906569
926	161.8804608
927	161.8656199
928	161.8480869
929	161.8288671
930	161.8029075
931	161.7765701
932	161.7330393
933	161.6214658
934	161.5984588
935	161.5654359
936	161.5351816
937	161.5329966
938	161.5236621
939	161.4948305
940	161.488844
941	161.4567626
942	161.3997131
943	161.3556109
944	161.3312422
945	161.280748
946	161.2684923
947	161.2297254
948	161.1956763
949	161.1621593
950	161.135399
951	161.1308467
952	161.0869522
953	161.0825092
954	161.0626433
955	161.0388244
956	161.0344769
957	160.9243471
958	160.9107338
959	160.8022487
960	160.7756184
961	160.7487338
962	160.7327003
963	160.6998444
964	160.6666751
965	160.635378
966	160.6206659
967	160.581752
968	160.5707318
969	160.5570476
970	160.5325681
971	160.5092632
972	160.4896956
973	160.4772951
974	160.4440924
975	160.4134622
976	160.3580657
977	160.3264101
978	160.278669
979	160.2520207
980	160.234935
981	160.2227455
982	160.1893772
983	160.1410612
984	160.1193093
985	160.1086054
986	160.090708
987	160.0655027
988	160.0367046
989	160.0219843
990	159.9802111
991	159.9610193
992	159.9445065
993	159.9222898
994	159.8917977
995	159.7847355
996	159.7637846
997	159.7347887
998	159.7206318
999	159.6807447
