iter	Passed	Remaining
0	1	1886
1	3	1848
2	5	1832
3	7	1828
4	10	1993
5	13	2313
6	17	2538
7	22	2743
8	25	2802
9	27	2704
10	29	2621
11	32	2672
12	35	2729
13	39	2784
14	42	2809
15	46	2856
16	49	2877
17	53	2905
18	58	3027
19	65	3202
20	71	3331
21	75	3345
22	79	3366
23	82	3361
24	87	3399
25	91	3425
26	94	3405
27	98	3432
28	103	3473
29	114	3707
30	123	3869
31	128	3873
32	132	3893
33	137	3898
34	141	3893
35	145	3886
36	149	3903
37	155	3942
38	172	4254
39	178	4282
40	183	4298
41	190	4336
42	194	4324
43	213	4634
44	218	4634
45	229	4760
46	236	4787
47	240	4766
48	243	4727
49	247	4700
50	252	4690
51	258	4704
52	264	4719
53	268	4696
54	271	4669
55	275	4646
56	278	4613
57	282	4590
58	286	4566
59	289	4542
60	293	4517
61	297	4495
62	303	4507
63	309	4519
64	314	4523
65	317	4497
66	321	4477
67	324	4453
68	328	4434
69	332	4417
70	336	4400
71	340	4386
72	344	4372
73	371	4644
74	376	4639
75	380	4630
76	385	4617
77	389	4606
78	393	4589
79	397	4576
80	404	4585
81	409	4586
82	413	4569
83	416	4543
84	420	4527
85	424	4506
86	427	4483
87	430	4458
88	433	4442
89	437	4427
90	441	4407
91	446	4405
92	452	4413
93	458	4418
94	462	4402
95	465	4386
96	469	4372
97	473	4358
98	476	4339
99	480	4321
100	483	4303
101	487	4292
102	490	4275
103	496	4273
104	501	4277
105	507	4281
106	511	4270
107	514	4251
108	518	4235
109	521	4217
110	524	4203
111	528	4189
112	531	4172
113	534	4155
114	538	4140
115	542	4134
116	548	4139
117	554	4146
118	558	4137
119	562	4123
120	565	4108
121	569	4095
122	572	4084
123	576	4071
124	579	4058
125	583	4045
126	586	4031
127	590	4024
128	597	4036
129	606	4056
130	609	4043
131	615	4045
132	618	4032
133	623	4026
134	627	4018
135	630	4005
136	634	3994
137	637	3981
138	652	4038
139	656	4033
140	662	4036
141	665	4023
142	668	4003
143	669	3981
144	672	3966
145	674	3947
146	676	3926
147	678	3905
148	680	3885
149	682	3867
150	684	3849
151	687	3834
152	693	3841
153	699	3845
154	703	3833
155	705	3814
156	706	3795
157	708	3776
158	710	3757
159	712	3738
160	713	3720
161	715	3702
162	716	3680
163	718	3663
164	720	3645
165	722	3628
166	723	3611
167	725	3594
168	727	3577
169	729	3560
170	731	3544
171	732	3528
172	736	3522
173	743	3529
174	749	3531
175	751	3517
176	753	3501
177	754	3486
178	756	3471
179	758	3455
180	760	3440
181	762	3425
182	764	3411
183	765	3396
184	767	3382
185	769	3367
186	771	3353
187	773	3339
188	775	3325
189	776	3311
190	778	3297
191	780	3284
192	783	3276
193	789	3281
194	796	3287
195	799	3277
196	801	3265
197	802	3252
198	804	3239
199	806	3226
200	808	3213
201	810	3200
202	811	3187
203	813	3175
204	815	3162
205	817	3149
206	818	3137
207	820	3125
208	822	3112
209	824	3100
210	826	3089
211	827	3077
212	829	3066
213	836	3070
214	842	3075
215	846	3072
216	848	3061
217	850	3049
218	852	3038
219	853	3027
220	855	3015
221	857	3004
222	859	2993
223	861	2982
224	862	2971
225	864	2960
226	866	2950
227	868	2939
228	869	2928
229	871	2918
230	873	2908
231	875	2897
232	877	2887
233	883	2891
234	889	2896
235	894	2895
236	896	2884
237	897	2874
238	899	2864
239	901	2854
240	903	2844
241	904	2834
242	906	2824
243	908	2814
244	910	2805
245	912	2795
246	913	2786
247	915	2776
248	917	2767
249	919	2757
250	921	2748
251	922	2739
252	924	2730
253	930	2733
254	936	2736
255	942	2738
256	943	2729
257	945	2719
258	947	2710
259	949	2702
260	951	2693
261	952	2684
262	954	2675
263	956	2666
264	958	2657
265	960	2649
266	961	2640
267	963	2631
268	965	2623
269	967	2615
270	969	2606
271	970	2598
272	972	2590
273	977	2590
274	983	2593
275	989	2596
276	991	2587
277	992	2578
278	994	2570
279	996	2562
280	998	2554
281	1000	2546
282	1001	2538
283	1003	2530
284	1005	2522
285	1007	2514
286	1009	2506
