areaSqm,longitude,latitude,propertyType,rent
14,4.514993,51.896601,Room,500
30,4.920721,52.3702,Studio,950
11,4.854786,52.35088,Room,1000
16,6.561012,53.013494,Room,290
22,4.479732,51.932871,Room,475
14,6.560124,53.221467,Room,340
22,5.248702,52.087459,Room,615
17,4.505328,51.921123,Room,857
16,5.671673,50.860841,Room,425
20,4.714006,52.861306,Room,375
25,4.516478,51.893195,Room,600
60,4.879218,52.354884,Apartment,1590
10,4.661434,52.122335,Room,425
14,5.107855,51.559155,Room,275
22,4.500558,51.889433,Room,500
20,4.500558,51.889433,Room,485
25,4.470089,51.891733,Room,550
19,4.976048,52.326211,Room,750
21,6.894667,52.221643,Room,240
16,4.466388,51.890481,Room,500
17,5.670447,50.841744,Studio,660
19,5.790455,53.197261,Studio,412
16,5.475464,51.431324,Room,265
12,4.824007,52.352244,Room,800
25,5.664905,51.965488,Room,200
20,6.902143,52.221827,Room,199
46,4.956145,52.328776,Apartment,996
24,5.677768,50.84333,Studio,580
51,5.782587,53.198638,Studio,595
20,5.469384,51.436023,Room,290
20,6.904084,52.232543,Room,270
16,5.08738,51.566702,Room,285
16,5.666983,51.967353,Room,298
30,5.133114,52.085334,Room,610
16,4.797621,52.356021,Room,650
35,6.579579,53.213251,Room,475
20,4.876115,52.357353,Room,900
18,5.646754,51.966191,Room,365
115,4.848855,52.352087,Apartment,3200
22,5.818932,53.216706,Room,400
14,6.847657,52.246596,Room,285
40,5.263086,52.376589,Room,650
24,5.118715,52.096169,Room,670
18,4.89488,52.341719,Room,700
8,4.748542,52.629363,Room,380
10,5.628006,52.34939,Room,300
25,5.780804,53.206537,Room,340
9,5.180783,52.228355,Room,350
14,4.359879,52.009719,Room,485
14,6.567376,53.230155,Room,275
15,4.499649,51.922734,Room,275
15,4.979319,52.321653,Room,550
14,4.540799,51.938809,Room,490
70,4.495439,51.893246,Apartment,1000
12,5.300464,51.690448,Room,310
54,5.438929,52.151834,Apartment,825
15,4.907587,52.368857,Room,750
15,4.483073,52.147788,Room,330
10,4.986728,52.300546,Room,500
29,4.453957,51.905459,Room,530
18,4.35235,52.00991,Room,285
29,4.282136,52.10918,Studio,500
25,5.311514,51.572428,Studio,500
23,4.282136,52.10918,Studio,600
18,6.801741,52.206876,Room,280
18,6.801741,52.206876,Room,310
18,6.906088,52.223274,Room,250
16,6.891383,52.224202,Room,275
15,4.298855,52.067245,Room,425
20,4.783328,52.333385,Room,500
22,5.126793,52.082348,Room,443
51,4.467344,51.891985,Apartment,975
18,5.540668,52.016483,Room,390
10,5.099437,51.565149,Room,479
45,6.573502,53.218157,Apartment,995
14,4.87584,52.368091,Room,800
16,4.792457,52.360034,Room,850
13,4.300775,52.06057,Room,500
12,4.863128,52.305533,Room,400
65,6.548832,53.220667,Apartment,895
14,4.300775,52.06057,Room,500
15,5.870952,51.845293,Room,350
60,4.905836,52.398532,Apartment,1550
10,4.482037,51.876348,Room,500
35,6.17504,51.351417,Room,350
32,4.311786,52.074465,Room,330
75,4.514074,51.921823,Apartment,1375
40,4.785248,52.34921,Apartment,1400
25,4.44858,51.916767,Room,550
30,6.566477,53.22155,Room,650
28,5.107975,52.067726,Studio,1085
20,6.589102,53.054733,Room,20
20,6.112719,52.476481,Room,450
20,6.589102,53.054733,Room,500
10,5.950024,51.981041,Room,310
21,5.910593,51.981662,Room,445
50,5.121173,52.087646,Apartment,1170
11,4.94402,52.351617,Room,480
12,6.573693,53.227625,Room,325
14,4.470967,52.146174,Room,445
16,6.563679,53.227777,Room,230
25,4.678203,52.224259,Room,800
66,4.895499,52.355426,Apartment,1675
16,5.706634,50.846525,Room,365
47,5.670991,50.860276,Apartment,625
49,5.691984,50.846467,Apartment,780
18,5.685754,50.838636,Room,360
56,5.698555,50.849388,Apartment,970
18,4.919661,52.413631,Room,800
35,5.187197,52.236712,Studio,695
10,4.994385,52.356022,Room,780
20,6.589102,53.054733,Room,350
21,4.358425,52.011988,Room,480
12,6.534303,53.232598,Room,330
15,6.548385,53.219965,Room,325
16,4.324609,52.093289,Room,460
18,6.572627,53.23224,Room,355
22,6.90671,52.191183,Room,372
10,5.908123,51.986031,Room,243
18,5.020328,51.522615,Room,230
53,4.812043,52.378454,Apartment,1350
11,5.955042,51.982525,Room,335
18,5.92929,51.980907,Room,375
85,5.07114,52.035973,Apartment,1275
40,4.277951,52.065949,Apartment,425
10,6.602309,53.174294,Room,285
85,4.720321,52.529831,Apartment,1699
11,4.473072,51.887066,Room,425
17,4.671494,52.47538,Apartment,700
86,4.470674,51.930649,Apartment,2000
41,4.955822,52.298603,Studio,909
8,5.661588,52.031695,Room,235
20,4.923626,52.376581,Room,890
12,4.479917,52.14195,Room,300
15,4.318884,52.053891,Room,475
10,4.467943,51.92614,Room,425
14,4.888355,52.382738,Room,1050
78,5.654507,51.966518,Apartment,850
100,5.485401,52.222828,Apartment,1030
90,5.376062,52.158843,Apartment,1060
90,5.388225,52.154481,Apartment,1095
8,6.563,53.206527,Apartment,225
21,5.901265,51.982503,Apartment,420
40,5.077163,51.552322,Apartment,800
70,5.095479,52.204464,Apartment,1500
80,5.155416,52.217066,Apartment,1242
85,4.280021,52.074261,Apartment,1250
67,4.325206,52.057352,Apartment,950
23,5.962651,52.2153,Studio,562
12,4.880033,52.368716,Room,865
10,4.79823,52.378932,Room,650
20,4.93444,52.362494,Room,750
9,4.836511,52.384136,Room,650
50,6.025562,50.771779,Apartment,649
35,4.896678,52.370953,Studio,1550
120,4.963605,52.374108,Apartment,1850
18,5.965718,51.994626,Room,435
7,5.965718,51.994626,Room,250
11,4.353192,51.907889,Room,350
14,5.365671,52.160059,Room,444
45,4.452861,51.921724,Room,800
40,4.886503,52.331923,Apartment,1285
14,5.808844,51.813089,Room,400
20,5.808844,51.813089,Room,450
18,6.548642,53.211743,Room,475
15,6.563659,53.224912,Room,220
23,5.093495,52.09404,Room,450
16,4.322122,52.059037,Room,550
28,5.299227,51.708055,Room,450
15,5.865068,51.843369,Room,400
27,6.576096,53.210914,Studio,399
15,6.564173,53.215582,Room,450
20,5.805471,53.200603,Apartment,430
12,4.348733,52.014493,Room,340
74,5.836086,51.81745,Apartment,880
50,4.866614,52.365002,Apartment,1300
20,4.924893,52.359408,Apartment,370
21,6.894389,52.214307,Studio,500
23,4.825168,52.346166,Room,600
18,4.955084,52.037009,Room,800
10,4.887394,52.349066,Room,650
9,4.853672,52.379634,Room,675
12,4.853672,52.379634,Room,725
18,4.895564,52.351936,Room,990
17,5.990815,52.2304,Room,410
9,6.876673,52.22445,Room,240
9,6.876673,52.22445,Room,240
12,6.91678,52.220469,Room,220
56,6.554135,53.214866,Apartment,720
15,5.078202,51.56445,Room,280
16,6.572164,53.193433,Room,370
19,6.567355,53.208232,Room,420
110,4.487038,51.919858,Apartment,1550
14,4.501845,51.893839,Room,500
15,6.544751,53.218083,Room,320
90,4.562051,51.966523,Apartment,1000
11,6.580607,53.224056,Room,320
17,5.965336,51.996848,Room,440
25,4.816868,52.344862,Room,700
109,6.902949,52.189138,Apartment,1395
18,6.098087,52.506653,Room,355
10,4.340522,52.086208,Room,500
13,6.882556,52.211725,Room,262
60,4.849068,52.368753,Apartment,1850
18,4.963205,52.323341,Room,850
25,4.963205,52.323341,Room,950
20,6.900048,52.228525,Studio,385
75,4.625652,52.361131,Apartment,1250
22,4.475083,51.890358,Room,350
20,4.790942,51.573873,Room,410
16,5.961578,52.222541,Room,350
13,4.48601,51.924588,Room,699
35,4.947613,52.509944,Apartment,645
21,4.469902,51.931572,Room,700
675,6.896909,52.221111,Room,445
10,4.469902,51.931572,Room,500
11,5.125405,52.073385,Room,500
20,4.441989,51.914635,Room,600
60,4.931115,52.393312,Apartment,700
21,4.495922,51.922788,Room,615
9,4.364349,51.983919,Room,350
30,5.285355,52.21289,Studio,495
16,4.320654,51.859426,Room,300
18,4.274126,52.053014,Room,460
50,6.149957,52.259585,Room,825
10,6.804495,52.270612,Room,300
7,6.804495,52.270612,Room,260
15,6.207891,52.251111,Room,350
30,6.804495,52.270612,Studio,495
14,6.207891,52.251111,Room,350
30,6.804495,52.270612,Studio,595
10,4.659657,52.365043,Room,350
10,6.804495,52.270612,Room,300
14,6.805223,52.270178,Room,350
15,6.804495,52.270612,Room,350
20,6.208644,52.251179,Room,395
31,6.569473,53.209095,Room,820
65,4.892903,52.376235,Apartment,1650
47,4.88389,52.364544,Apartment,1950
53,4.88389,52.364544,Apartment,2250
9,5.725704,50.847264,Room,270
23,5.48502,51.471126,Room,450
75,4.574547,51.949201,Apartment,1100
11,5.725704,50.847264,Room,300
22,6.899159,52.222327,Studio,615
16,4.863853,52.279493,Room,480
16,4.963205,52.323341,Room,750
18,5.710803,50.861579,Room,470
40,5.085613,51.571102,Studio,625
12,4.501845,51.893839,Room,450
13,4.485982,51.926414,Room,560
15,5.653444,51.97704,Room,400
16,5.483278,51.439931,Room,300
14,6.557118,53.217311,Room,350
8,5.123151,52.111543,Room,450
55,4.495937,51.923133,Apartment,1350
57,6.866725,52.227573,Apartment,610
15,4.500442,51.906903,Room,540
79,6.873906,52.203591,Apartment,950
101,4.468673,52.160414,Apartment,1494
125,4.993282,52.517964,Apartment,1250
60,5.251746,52.707506,Apartment,900
56,5.035476,52.314932,Apartment,1200
11,5.436577,51.438982,Room,275
11,4.294191,52.083556,Room,399
28,4.764834,51.585515,Room,390
14,4.764834,51.585515,Room,340
70,4.861496,52.358438,Apartment,1830
19,5.655002,50.836031,Room,285
14,5.733569,50.870133,Room,325
32,6.561051,53.215834,Studio,695
12,5.496745,51.421316,Room,300
100,5.084855,52.093718,Apartment,1695
9,4.839345,52.376352,Room,800
40,5.749832,52.13428,Apartment,720
93,5.993252,52.222057,Apartment,805
8,6.902584,52.231115,Room,400
28,6.899159,52.222327,Studio,670
135,5.689059,51.699427,Apartment,1350
97,5.477505,51.396057,Apartment,1195
10,6.880038,52.211881,Room,365
55,4.85179,52.362137,Apartment,1650
15,5.681715,50.851443,Room,360
28,5.693099,50.85127,Apartment,595
18,5.69927,50.84936,Room,375
23,5.677498,50.847135,Room,390
27,5.684848,50.849235,Room,477
70,4.875,52.323157,Apartment,1200
10,4.35512,51.993657,Room,370
42,5.015002,52.040362,Room,550
21,4.425331,52.024539,Room,280
