,areaSqm,latitude,longitude,propertyType,rent,shared
0,14,51.896601000000004,4.514993,Room,500,1
1,30,52.3702,4.920721,Studio,950,0
2,11,52.35088,4.854786,Room,1000,1
3,16,53.013493999999994,6.561012,Room,290,1
4,22,51.932871,4.479732,Room,475,1
5,14,53.221467000000004,6.560124000000001,Room,340,1
6,22,52.087459,5.248702,Room,615,1
7,17,51.921123,4.5053279999999996,Room,857,0
8,16,50.860841,5.671673,Room,425,1
9,20,52.861306000000006,4.7140059999999995,Room,375,1
10,25,51.893195,4.516478,Room,600,1
11,60,52.354884000000006,4.879218,Apartment,1590,0
12,10,52.122335,4.661434,Room,425,1
13,14,51.559155,5.107855000000001,Room,275,1
14,22,51.889433000000004,4.500558,Room,500,1
15,20,51.889433000000004,4.500558,Room,485,1
16,25,51.891733,4.470089,Room,550,1
17,19,52.326211,4.9760480000000005,Room,750,1
18,21,52.221643,6.894667,Room,240,1
19,16,51.890481,4.466387999999999,Room,500,1
20,17,50.841744,5.670447,Studio,660,0
21,19,53.197261,5.790455000000001,Studio,412,0
22,16,51.431324,5.475464,Room,265,1
23,12,52.352244,4.824007,Room,800,1
24,25,51.965488,5.664905,Room,200,1
25,20,52.221827000000005,6.902143,Room,199,1
26,46,52.328776,4.956144999999999,Apartment,996,0
27,24,50.84333,5.677768,Studio,580,0
28,51,53.198638,5.782587,Studio,595,0
29,20,51.436023,5.469384,Room,290,1
30,20,52.232543,6.904083999999999,Room,270,1
31,16,51.566702,5.0873800000000005,Room,285,0
32,16,51.967353,5.666983,Room,298,1
33,30,52.085334,5.133114,Room,610,1
34,16,52.356021000000005,4.7976209999999995,Room,650,1
35,35,53.213251,6.579578999999999,Room,475,1
36,20,52.357353,4.876115,Room,900,1
37,18,51.966190999999995,5.6467540000000005,Room,365,1
38,115,52.352087,4.848855,Apartment,3200,1
39,22,53.216706,5.818932,Room,400,1
40,14,52.246596000000004,6.847657000000001,Room,285,1
41,40,52.376589,5.263086,Room,650,1
42,24,52.096169,5.118715,Room,670,1
43,18,52.341719,4.894880000000001,Room,700,1
44,8,52.629363,4.748542,Room,380,1
45,10,52.34939,5.628006,Room,300,1
46,25,53.206537,5.780804,Room,340,1
47,9,52.228355,5.180783,Room,350,1
48,14,52.009719,4.359879,Room,485,1
49,14,53.230155,6.567375999999999,Room,275,1
